id;family_list
221107;Mechanism: Legacy
221107;Medical: Diseases
221107;Misc: Limited Replayability
221107;Misc: Made by Panda
221107;Theme: Post-Apocalyptic
221107;Versions & Editions: Legacy Versions of Non-Legacy Games
314040;Components: Map (Global Scale)
314040;Decades: The 1960's
314040;Digital Implementations: Tabletopia
314040;Game: Pandemic
314040;History: Cold War
314040;Mechanism: Campaign Games
314040;Mechanism: Legacy
314040;Medical: Diseases
314040;Misc: Limited Replayability
314040;Misc: Made by Panda
314040;Theme: Alternate History
314040;Theme: Retro
314040;Versions & Editions: Legacy Versions of Non-Legacy Games
205059;Category: Dungeon Crawler
205059;Components: Dice with Icons
205059;Components: Digital Hybrid – App/Website Required
205059;Components: Miniatures
205059;Components: Polyhedral (not D6) dice
205059;Game: Mansions of Madness (Second Edition)
205059;Players: Games with Solitaire Rules
205059;Series: Arkham Horror Files (Fantasy Flight Games)
205059;Series: Mansions of Madness
205059;Theme: Cthulhu Mythos
205059;Theme: Mad Science / Mad Scientist
205059;Theme: Spooky Old Houses
276025;Cities: Maracaibo (Venezuela)
276025;Components: Control Boards
276025;Components: Map (Continental / National scale)
276025;Components: Multi-Use Cards
276025;Game: Maracaibo
276025;Players: Games with Solitaire Rules
276025;Region: Caribbean Sea
276025;Theme: Colonial
276025;Theme: Pirates
276025;Theme: Tropical
521;Components: Wooden pieces & boards
521;Mechanism: Finger Flicking Games
521;Traditional Games: Crokinole
126163;Components: Gears
126163;Country: Mexico
126163;Digital Implementations: Board Game Arena
126163;Digital Implementations: Boiteajeux
126163;Game: Tzolk'in – The Mayan Calendar
126163;Theme: Mayans
126163;Theme: Native Americans / First Peoples
126163;Theme: Tropical
255984;Components: Book as Board
255984;Components: Map (City Scale)
255984;Components: Official Music Soundtrack
255984;Crowdfunding: Kickstarter
255984;Crowdfunding: Wspieram
255984;Decades: The 1920's
255984;Game: Sleeping Gods
255984;Mechanism: Campaign Games
255984;Misc: Limited Replayability
255984;Misc: Made by Panda
255984;Misc: Watch It Played How To Videos
255984;Players: Games with Solitaire Rules
255984;Setting: The Wandering Sea
2651;Components: Map (Continental / National scale)
2651;Components: Wooden pieces & boards
2651;Country: Germany
2651;Country: USA
2651;Game: Power Grid
2651;Mechanism: Tableau Building
284378;Crowdfunding: Kickstarter
284378;Digital Implementations: Tabletopia
284378;Misc: Made by Panda
284378;Theme: Automotive Industry
161533;Cities: Lisbon (Portugal)
161533;Components: Multi-Use Cards
161533;Country: Portugal
161533;Crowdfunding: Giochistarter
161533;Crowdfunding: Kickstarter
161533;Crowdfunding: Spieleschmiede
161533;Digital Implementations: Tabletopia
161533;Misc: Made by Panda
161533;Players: Games with Solitaire Rules
161533;Theme: Earthquakes
284083;Digital Implementations: Board Game Arena
284083;Digital Implementations: Tabletopia
284083;Game: The Crew
284083;Mechanism: Campaign Games
284083;Space: Earth's Solar System
216132;Animals: Cattle / Cows
216132;Animals: Sheep
216132;Components: Control Boards
216132;Components: Wooden pieces & boards
216132;Country: Scotland
216132;Crowdfunding: Kickstarter
216132;Crowdfunding: zagramw.to
216132;Digital Implementations: Board Game Arena
216132;Digital Implementations: TableTop Simulator Mod (TTS)
216132;Digital Implementations: Tabletopia
216132;Misc: Made by Panda
216132;Players: Games with Solitaire Rules
244521;Components: Dice with Icons
244521;Country: Germany
244521;Digital Implementations: Tabletopia
244521;Game: The Quacks of Quedlinburg
244521;Misc: Watch It Played How To Videos
35677;Cities: Le Havre (France)
35677;Country: France
35677;Digital Implementations: Google Play
35677;Game: Le Havre
35677;Players: Games with Solitaire Rules
35677;Region: Normandy (France)
35677;Series: Harvest (Uwe Rosenberg)
164153;Category: Dungeon Crawler
164153;Components: Dice with Icons
164153;Components: Miniatures
164153;Game: Star Wars Imperial Assault
164153;Mechanism: Campaign Games
164153;Movies: Star Wars
164153;Players: Games with Solitaire Rules
164153;Players: One versus Many
266810;Crowdfunding: Kickstarter
266810;Digital Implementations: Tabletopia
266810;History: Francia
266810;Mechanism: Tableau Building
266810;Players: Games with Solitaire Rules
266810;Series: Medieval Trilogies (Garphill Games)
266810;Series: The West Kingdom Trilogy (Garphill Games)
209010;Category: MOBA
209010;Components: Game Trayz Inside
209010;Components: Miniatures
209010;Components: Official Music Soundtrack
209010;Components: Sand Timers
209010;Mechanism: Campaign Games
209010;Misc: Made by Panda
209010;Misc: Watch It Played How To Videos
125153;Crowdfunding: Giochistarter
125153;Crowdfunding: Kickstarter
125153;Crowdfunding: Spieleschmiede
125153;Digital Implementations: Tabletopia
125153;Game: The Gallerist
125153;Misc: Made by Panda
125153;Players: Games with Solitaire Rules
125153;Theme: Art
125153;Theme: Fine Art and Art Museums
125153;Theme: Painting / Paintings
55690;Components: Miniatures
55690;Crowdfunding: Kickstarter
55690;Game: Kingdom Death Monster
55690;Mechanism: Campaign Games
55690;Players: Games with Solitaire Rules
55690;Theme: Boss Battle
124742;Category: Two players fighting games
124742;Collectible: Living Card Game (Fantasy Flight Games)
124742;Game: Android – Netrunner (LCG)
124742;Players: Two Player Only Games
124742;Setting: Android
124742;Theme: Cyberpunk
124742;Theme: Hackers
182874;Cities: Vienna (Austria)
182874;Country: Austria
182874;Crowdfunding: Wspieram
182874;Digital Implementations: Yucata
182874;Mechanism: Dice Drafting
182874;Misc: LongPack Games
182874;Theme: Food / Cooking
230802;Components: 5 x 5 Grids
230802;Country: Portugal
230802;Digital Implementations: Board Game Arena
230802;Game: Azul
230802;Misc: Mensa Select
230802;Theme: Art
72125;Components: Control Boards
72125;Components: Map (Interplanetary or Interstellar scale)
72125;Components: Miniatures
72125;Digital Implementations: Steam
72125;Game: Eclipse (Lautapelit.fi)
72125;Mechanism: 4X
72125;Misc: Made by Panda
28143;Components: Multi-Use Cards
28143;Digital Implementations: Board Game Arena
28143;Digital Implementations: Google Play
28143;Digital Implementations: Steam
28143;Game: Race for the Galaxy
28143;Mechanism: Tableau Building
28143;Misc: Made by Panda
28143;Players: Games with expansions that add solo play
253344;Category: Dungeon Crawler
253344;Components: Dice with Icons
253344;Components: Miniatures
253344;Creatures: Monsters
253344;Crowdfunding: Kickstarter
253344;Digital Implementations: TableTop Simulator Mod (TTS)
253344;Game: Cthulhu: Death may Die
253344;Players: Games with Solitaire Rules
253344;Theme: Cthulhu Mythos
191189;Components: Official Music Soundtrack
191189;Crowdfunding: Kickstarter
191189;Digital Implementations: Steam
191189;Game: Aeon's End
191189;Players: Games with Solitaire Rules
201808;Category: Dungeon Crawler
201808;Components: Meeples (Blue)
201808;Components: Meeples (Green)
201808;Components: Meeples (Red)
201808;Components: Meeples (Yellow)
201808;Creatures: Dragons
201808;Creatures: Goblins
201808;Creatures: Monsters
201808;Game: Clank!
201808;Misc: Mensa Select
201808;Misc: Watch It Played How To Videos
200680;Animals: Cattle / Cows
200680;Animals: Pigs
200680;Animals: Sheep
200680;Components: Meeples (Animal) / Animeeples
200680;Components: Wooden pieces & boards
200680;Digital Implementations: Board Game Arena
200680;Game: Agricola
200680;Mechanism: Tableau Building
200680;Occupation: Farmer
200680;Players: Games with Solitaire Rules
200680;Series: Harvest (Uwe Rosenberg)
200680;Theme: Food / Cooking
157354;Animals: Camels
157354;Components: Meeples (Animal) / Animeeples
157354;Game: Five Tribes
157354;Mythology: Arabian
157354;Region: Middle East
25613;Ancient: Egypt
25613;Digital Implementations: Board Game Arena
25613;Game: Through the Ages
25613;Historical Figures: Various
25613;Mechanism: Tableau Building
159675;Animals: Cattle / Cows
159675;Animals: Horses
159675;Animals: Sheep
159675;Category: Combinatorial
159675;Components: Meeples (Animal) / Animeeples
159675;Components: Wooden pieces & boards
159675;Country: Germany
159675;Crowdfunding: Wspieram
159675;Digital Implementations: Yucata
159675;Game: Fields of Arle
159675;Players: Games with Solitaire Rules
159675;Series: Harvest (Uwe Rosenberg)
159675;Theme: Nature
229853;Constructions: Pyramids
229853;Country: Mexico
229853;Digital Implementations: Board Game Arena
229853;Digital Implementations: Tabletopia
229853;Game: Teotihuacan
229853;Misc: LongPack Games
229853;Players: Games with Solitaire Rules
229853;Theme: Native Americans / First Peoples
110327;Components: Map (City Scale)
110327;Digital Implementations: Google Play
110327;Digital Implementations: Steam
110327;Game: Lords of Waterdeep
110327;Setting: Dungeons & Dragons
110327;Versions & Editions: Board Game Versions of Role-Playing Games
121921;Books: Robinson Crusoe
121921;Category: Dized Tutorial
121921;Components: Dice with Icons
121921;Components: Wooden pieces & boards
121921;Digital Implementations: Tabletopia
121921;Game: Robinson Crusoe – Adventures on the Cursed Island
121921;Islands: Fictional
121921;Misc: LongPack Games
121921;Misc: Watch It Played How To Videos
121921;Players: Games with Solitaire Rules
121921;Theme: Colonial
121921;Theme: Survival
121921;Theme: Tropical Islands
171623;Animals: Camels
171623;Cities: Beijing (China)
171623;Cities: Samarkand (Uzbekistan)
171623;Cities: Venice (Veneto, Italy)
171623;Components: Map (Continental / National scale)
171623;Components: Wooden pieces & boards
171623;Continents: Asia
171623;Digital Implementations: Board Game Arena
171623;Digital Implementations: BrettspielWelt
171623;Digital Implementations: Yucata
171623;Game: The Voyages of Marco Polo
171623;Region: Middle East
171623;Theme: Silk Road
62219;Animals: Prehistoric Non-Dinosaurs
62219;Components: Map (Continental / National scale)
62219;Digital Implementations: Tabletopia
62219;Game: Dominant Species
62219;Mechanism: 4X
62219;Misc: Made by Panda
62219;Theme: Biology
62219;Theme: Evolution
62219;Theme: Science
366013;Country: France
366013;Country: Great Britain
366013;Country: Italy
366013;Country: USA
366013;Players: Games with Solitaire Rules
366013;Sports: Auto Racing
68448;Ancient: Babylon
68448;Ancient: Egypt
68448;Ancient: Greece
68448;Category: Dized Tutorial
68448;Constructions: Pyramids
68448;Digital Implementations: Board Game Arena
68448;Digital Implementations: BrettspielWelt
68448;Game: 7 Wonders
68448;Mechanism: Artificial Player
68448;Mechanism: Tableau Building
68448;Misc: Watch It Played How To Videos
317985;Digital Implementations: Board Game Arena
317985;Mechanism: Tableau Building
317985;Players: Games with expansions that add solo play
231733;Country: England
231733;Crowdfunding: Kickstarter
231733;Digital Implementations: Board Game Arena
231733;Game: Obsession
231733;Mechanism: Tableau Building
231733;Misc: Made by Panda
231733;Players: Games with Solitaire Rules
180263;Components: Map (Continental / National scale)
180263;Components: Miniatures
180263;Components: Official Music Soundtrack
180263;Crowdfunding: Kickstarter
180263;Mechanism: Campaign Games
180263;Misc: Limited Replayability
180263;Misc: Made by Panda
180263;Players: Games with Solitaire Rules
180263;Series: The 7th Continent
264220;Components: Miniatures
264220;Crowdfunding: Kickstarter
264220;Game: Tainted Grail
264220;Mechanism: Campaign Games
264220;Misc: Eastar Game Manufacturing
264220;Players: Games with Solitaire Rules
264220;Theme: King Arthur / The Knights of the Round Table / Camelot
295770;Category: Dungeon Crawler
295770;Components: Miniatures
295770;Components: Multi-Use Cards
295770;Components: Standees
295770;Crowdfunding: Kickstarter
295770;Digital Implementations: TableTop Simulator Mod (TTS)
295770;Game: Gloomhaven
295770;Mechanism: Campaign Games
295770;Mechanism: Legacy
295770;Misc: Forteller Audio Narration
295770;Players: Games with Solitaire Rules
236457;Components: Wooden pieces & boards
236457;Crowdfunding: Kickstarter
236457;Digital Implementations: Board Game Arena
236457;Digital Implementations: Tabletopia
236457;History: Francia
236457;Misc: Mensa Select
236457;Players: Games with Solitaire Rules
236457;Series: Medieval Trilogies (Garphill Games)
236457;Series: The West Kingdom Trilogy (Garphill Games)
236457;Theme: Construction
93;Components: Map (Continental / National scale)
93;Country: Spain
93;Digital Implementations: Board Game Arena
93;Digital Implementations: Yucata
93;Game: El Grande
93;Misc: Made by Panda
279537;Components: Digital Hybrid – App/Website Required
279537;Components: Game Trayz Inside
279537;Crowdfunding: Kickstarter
279537;Players: Games with Solitaire Rules
279537;Space: Earth's Solar System
279537;Theme: Astronomy
37111;Components: Multi-Use Cards
37111;Components: Polyhedral (not D6) dice
37111;Components: Standees
37111;TV Shows: Battlestar Galactica
122515;Components: Meeples (Blue)
122515;Components: Meeples (Green)
122515;Components: Meeples (Red)
122515;Components: Meeples (Yellow)
122515;Crowdfunding: Kickstarter
122515;Digital Implementations: Board Game Arena
122515;Digital Implementations: Tabletopia
122515;Game: Keyflower
122515;History: Age of Discovery
