id;domain_list
256226;Abstract Games
256226;Family Games
240980;Party Games
262211;Strategy Games
372;Family Games
236191;Strategy Games
166669;Strategy Games
71;Strategy Games
15987;Thematic Games
202426;Strategy Games
194594;Family Games
198773;Party Games
246684;Strategy Games
204305;Thematic Games
336986;Family Games
336986;Strategy Games
170771;Thematic Games
154809;Strategy Games
40765;Strategy Games
329839;Party Games
251658;Family Games
161614;Strategy Games
54625;Thematic Games
229220;Strategy Games
92415;Party Games
138161;Thematic Games
121;Strategy Games
121;Thematic Games
186751;Strategy Games
365717;Strategy Games
36932;Thematic Games
55670;Strategy Games
66188;Family Games
66188;Strategy Games
128671;Thematic Games
243;Wargames
124708;Thematic Games
34219;Family Games
34219;Strategy Games
260180;Abstract Games
260180;Family Games
262543;Party Games
63628;Strategy Games
215341;Strategy Games
351913;Strategy Games
274638;Strategy Games
298069;Family Games
100901;Family Games
100901;Thematic Games
258210;Wargames
27162;Family Games
27162;Strategy Games
151347;Thematic Games
293141;Family Games
332800;Customizable Games
332800;Strategy Games
171;Abstract Games
270844;Strategy Games
66362;Strategy Games
96913;Strategy Games
11170;Customizable Games
11170;Thematic Games
256730;Strategy Games
79828;Strategy Games
79828;Wargames
176396;Family Games
18833;Strategy Games
192153;Strategy Games
192153;Thematic Games
274960;Family Games
150;Family Games
150;Party Games
264241;Abstract Games
264241;Family Games
156858;Thematic Games
194607;Strategy Games
169427;Thematic Games
137408;Strategy Games
325494;Thematic Games
290236;Family Games
25417;Thematic Games
25417;Wargames
233312;Family Games
233312;Thematic Games
197376;Strategy Games
150658;Family Games
150658;Strategy Games
62222;Wargames
284742;Family Games
284742;Strategy Games
343905;Strategy Games
5404;Strategy Games
15985;Thematic Games
105134;Strategy Games
226522;Family Games
226522;Thematic Games
158899;Family Games
364011;
332772;Strategy Games
269144;Strategy Games
157969;Family Games
157969;Party Games
205398;Family Games
136063;Family Games
712;Strategy Games
712;Thematic Games
478;Family Games
478;Strategy Games
146791;Thematic Games
162082;Strategy Games
83330;Thematic Games
144189;Wargames
20437;Strategy Games
20437;Thematic Games
17226;Thematic Games
98778;Family Games
15062;Thematic Games
232414;Strategy Games
12942;Family Games
240196;Thematic Games
128996;Wargames
336382;Family Games
62227;Strategy Games
62227;Wargames
43570;Strategy Games
256952;Children's Games
256952;Family Games
177639;Strategy Games
193042;Family Games
193042;Party Games
216600;Family Games
216600;Strategy Games
17405;Strategy Games
13;Family Games
13;Strategy Games
180974;Family Games
191862;Family Games
175095;Thematic Games
11;Family Games
245654;Family Games
262215;Strategy Games
119506;Strategy Games
119506;Thematic Games
315767;Strategy Games
21790;Family Games
21790;Strategy Games
247367;Strategy Games
247367;Wargames
303057;Strategy Games
97786;Family Games
97786;Strategy Games
144797;Strategy Games
206941;Strategy Games
156009;Family Games
206480;Strategy Games
206480;Wargames
65781;Strategy Games
105551;Strategy Games
322708;Thematic Games
142379;Strategy Games
95527;Strategy Games
9674;Abstract Games
239942;Strategy Games
171668;Thematic Games
252328;Customizable Games
252328;Wargames
31999;Abstract Games
221965;Family Games
125618;Strategy Games
127398;Thematic Games
36553;Party Games
6249;Family Games
6249;Strategy Games
90419;Family Games
90419;Strategy Games
276182;Strategy Games
18;Strategy Games
18;Thematic Games
147949;Party Games
133848;Strategy Games
91312;Thematic Games
163968;Strategy Games
123123;Strategy Games
220;Family Games
133473;Family Games
875;Strategy Games
31730;Strategy Games
245961;Strategy Games
102652;Thematic Games
290359;Wargames
27173;Strategy Games
196326;Family Games
196326;Party Games
97842;Strategy Games
153938;Family Games
322289;Strategy Games
181530;Thematic Games
284189;Strategy Games
284435;Abstract Games
58421;Strategy Games
232043;Family Games
177478;Strategy Games
183251;Family Games
42052;Strategy Games
84419;Wargames
265402;Strategy Games
170561;Family Games
170561;Strategy Games
475;Strategy Games
34119;Thematic Games
22827;Strategy Games
22827;Thematic Games
128780;Strategy Games
28023;Family Games
133038;Thematic Games
117959;Family Games
27746;Family Games
27746;Strategy Games
151022;Strategy Games
151022;Thematic Games
292375;Strategy Games
345584;Family Games
345584;Strategy Games
503;Abstract Games
